Δn,T,SRH,Label
10000000000000.0,200,0.0011586682125652122,0
10974987654930.545,200,0.0011591958938029995,0
12045035402587.836,200,0.0011597747916336145,0
13219411484660.287,200,0.0011604098524086808,0
14508287784959.373,200,0.0011611064951461889,0
15922827933410.94,200,0.0011618706556703546,0
17475284000076.83,200,0.0011627088346631662,0
19179102616724.926,200,0.0011636281499307036,0
21049041445120.22,200,0.001164636393201427,0
23101297000831.582,200,0.0011657420917861655,0
25353644939701.168,200,0.0011669545754397566,0
27825594022071.258,200,0.0011682840487713534,0
30538555088334.125,200,0.0011697416695532316,0
33516026509388.477,200,0.0011713396332752482,0
36783797718286.34,200,0.0011730912642823326,0
40370172585965.5,200,0.0011750111138136815,0
44306214575838.87,200,0.0011771150652324853,0
48626015800653.53,200,0.0011794204466913532,0
53366992312063.016,200,0.0011819461514181195,0
58570208180566.734,200,0.0011847127657257425,0
64280731172843.195,200,0.0011877427047444096,0
70548023107186.31,200,0.0011910603557389755,0
77426368268112.78,200,0.0011946922287049966,0
84975343590864.38,200,0.0011986671137258265,0
93260334688321.8,200,0.0012030162443146665,0
102353102189902.69,200,0.001207773465651723,0
112332403297802.66,200,0.001212975406249744,0
123284673944206.84,200,0.0012186616511328306,0
135304777457980.75,200,0.001224874914085119,0
148496826225446.34,200,0.0012316612059095054,0
162975083462064.7,200,0.001239069994924665,0
178864952905743.5,200,0.001247154355115407,0
196304065004026.84,200,0.0012559710964335565,0
215443469003188.66,200,0.0012655808707245741,0
236448941264540.72,200,0.0012760482456347054,0
259502421139974.25,200,0.0012874417376476503,0
284803586843580.5,200,0.0012998337941307922,0
312571584968823.5,200,0.0013133007129734454,0
343046928631492.6,200,0.0013279224871222534,0
376493580679247.1,200,0.0013437825601286854,0
413201240011533.44,200,0.0013609674778075275,0
453487850812859.1,200,0.0013795664203731777,0
497702356433211.4,200,0.0013996705991062726,0
546227721768433.7,200,0.0014213725018643562,0
599484250318942.1,200,0.001444764972765904,0
657933224657568.2,200,0.001469940113341656,0
722080901838545.6,200,0.001496987995561189,0
792482898353918.6,200,0.0015259951815971245,0
869749002617783.4,200,0.001557043051146143,0
954548456661832.8,200,0.0015902059446909211,0
1047615752789666.2,200,0.0016255491402791358,0
1149756995397735.8,200,0.0016631266921121042,0
1261856883066018.5,200,0.0017029791712167672,0
1384886371393874.5,200,0.001745131361273517,0
1519911082952933.2,200,0.0017895899756342815,0
1668100537200055.8,200,0.0018363414738250218,0
1830738280295369.8,200,0.001885350066331532,0
2009233002565046.0,200,0.0019365560040302098,0
2205130739903041.0,200,0.001989874252013918,0
2420128264794383.5,200,0.002045193645621886,0
2656087782946684.0,200,0.0021023766182823003,0
2915053062825181.5,200,0.00216125957577203,0
3199267137797384.5,200,0.0022216539696792966,0
3511191734215142.0,200,0.0022833480948581705,0
3853528593710535.5,200,0.002346109602818792,0
4229242874389499.0,200,0.0024096886872936947,0
4641588833612792.0,200,0.0024738218621721286,0
5094138014816386.0,200,0.002538236218416102,0
5590810182512223.0,200,0.00260265401828534,0
6135907273413188.0,200,0.002666797464706791,0
6734150657750828.0,200,0.0027303934728058156,0
7390722033525775.0,200,0.0027931782704818976,0
8111308307896889.0,200,0.002854901665474352,0
8902150854450393.0,200,0.0029153308366353546,0
9770099572992246.0,200,0.0029742535352496762,0
1.0722672220103254e+16,200,0.003031480615721173,0
1.176811952435004e+16,200,0.003086847850968074,0
1.2915496650148828e+16,200,0.003140217023613377,0
1.4174741629268076e+16,200,0.0031914763169986044,0
1.5556761439304658e+16,200,0.0032405400581849947,0
1.7073526474706888e+16,200,0.0032873478870881416,0
1.8738174228603868e+16,200,0.0033318634410668866,0
2.05651230834866e+16,200,0.003374072652651453,0
2.257019719633917e+16,200,0.0034139817601815093,0
2.477076355991714e+16,200,0.003451615127855019,0
2.718588242732951e+16,200,0.003487012964214229,0
2.9836472402833344e+16,200,0.00352022901764859,0
3.2745491628777316e+16,200,0.003551328315264484,0
3.5938136638046404e+16,200,0.0035803849985159464,0
3.944206059437648e+16,200,0.0036074802961789487,0
4.3287612810830616e+16,200,0.0036327006632441835,0
4.750810162102813e+16,200,0.0036561361035517825,0
5.214008287999674e+16,200,0.0036778786847599288,0
5.72236765935022e+16,200,0.0036980212466338406,0
6.280291441834272e+16,200,0.0037166562976461274,0
6.892612104349681e+16,200,0.0037338750903896994,0
7.564633275546291e+16,200,0.003749766863159457,0
8.30217568131977e+16,200,0.003764418233068405,0
9.111627561154869e+16,200,0.0037779127250271334,0
1e+17,200,0.0037903304206380202,0
10000000000000.0,225,0.0010924041483216008,0
10974987654930.545,225,0.0010929016507192303,0
12045035402587.836,225,0.001093447440559933,0
13219411484660.287,225,0.00109404618130645,0
14508287784959.373,225,0.0010947029820554308,0
15922827933410.94,225,0.0010954234391528641,0
17475284000076.83,225,0.0010962136814974947,0
19179102616724.926,225,0.001097080419817954,0
21049041445120.22,225,0.0010980310002226736,0
23101297000831.582,225,0.0010990734623334542,0
25353644939701.168,225,0.0011002166023231909,0
27825594022071.258,225,0.0011014700411849318,0
30538555088334.125,225,0.001102844298562094,0
33516026509388.477,225,0.001104350872467132,0
36783797718286.34,225,0.0011060023252067463,0
40370172585965.5,225,0.0011078123758140777,0
44306214575838.87,225,0.0011097959992601954,0
48626015800653.53,225,0.0011119695326760263,0
53366992312063.016,225,0.001114350788758846,0
58570208180566.734,225,0.0011169591764611086,0
64280731172843.195,225,0.0011198158289598397,0
70548023107186.31,225,0.0011229437387775475,0
77426368268112.78,225,0.0011263678997654547,0
